Record ID,University,Institution Type,Russell Group,UK Nation,Category,Document Title,Document Type,Intended_Audience,URL,File Format,Retrieval Date,Status,Source_Type,Last_Updated,Notes,AI_Characterisation,Aim_Prevention,Aim_Encouragement,Uses_Allowed,Uses_Disallowed,Technologies_Mentioned,Coding_Mentioned,Overall_Tone,Key_Takeaways,Missing_Topics,Unclear_Areas,Suggested_Additions,Suggested_Reductions,Coding_Recommendations
RG011,Durham University,University,Yes,England,Teaching,Common Awards Policy and Guidance on Generative AI,Policy/Guidance,Staff/Students,https://www.durham.ac.uk/media/durham-university/departments-/common-awards/documents/AI-Policy-and-Guidance.pdf,PDF,2026-06-29,Available,Official,,,Tool,Academic Integrity,AI Literacy; Responsible Use of AI; Transparency,Learning support; Drafting; Brainstorming,Replacing assessed intellectual work,Generative AI,FALSE,Balanced,Provides one of the clearest examples of a principle-based AI policy that distinguishes between acceptable and unacceptable AI use according to educational purpose rather than adopting blanket restrictions.,"The policy gives little attention to AI-assisted programming, computational assignments or discipline-specific applications beyond general assessment.","Although illustrative examples are provided, some borderline cases may still require interpretation by individual tutors or programmes.","Include examples addressing AI use in computational disciplines, programming assignments and data analysis to complement the existing assessment scenarios.",/,"Include explicit guidance on AI-assisted programming, code generation and debugging, clarifying when AI may support coding activities and when generated code becomes part of the assessed intellectual contribution."
RG012,University of Edinburgh,University,Yes,Scotland,Teaching,Using generative AI in your studies: guidelines for students,Guidance,Students,https://information-services.ed.ac.uk/computing/comms-and-collab/elm/generative-ai-guidance-for-students/using-generative,HTML,2026-06-29,Available,Official,Mar-26,,Tool,Academic Integrity; Overreliance,AI Literacy; Responsible Use of AI; Critical Thinking,Learning support,Replacing assessed intellectual work,Generative AI; Agentic AI,FALSE,Balanced,"Establishes a clear principle-based framework that encourages students to develop AI literacy while making explicit that AI should enhance, rather than replace, learning and assessed intellectual work.","The guidance gives limited attention to discipline-specific applications, including AI-assisted programming, computational research and data analysis.","While the document explains that acceptable AI use depends on course guidance, the practical differences between courses may still require additional clarification from teaching staff.","Include discipline-specific examples illustrating appropriate AI use in programming, data analysis and other computational assignments alongside existing assessment guidance.",/,"Add explicit guidance on AI-assisted programming, including code generation, debugging and software development, clarifying when AI may support coding activities and when generated code would replace assessed intellectual work."
RG013,University of Edinburgh,University,Yes,Scotland,Teaching,Using Generative AI in Your Work: Guidance for Staff,Guidance,Staff,https://information-services.ed.ac.uk/computing/comms-and-collab/elm/generative-ai-guidance-for-staff,HTML,2026-06-29,Available,Official,,,Tool,Privacy; Security,AI Literacy; Responsible Use of AI; Transparency,Administrative support; Drafting; Summarising,Inputting confidential or personal information into public AI systems,ELM; Generative AI,FALSE,Positive,"The guidance promotes institutionally supported AI adoption through ELM, combining a positive view of AI-enabled productivity with strong expectations around data protection, transparency and human oversight.","The guidance provides little discussion of AI-assisted programming, software development or computational research workflows, despite its broad coverage of professional uses.","While the guidance recommends reviewing AI outputs, it provides limited detail on documenting AI use across different categories of professional work, such as teaching materials, administrative reports or research support.","Include practical examples covering AI-assisted programming, data analysis, code generation and other computational tasks that staff may encounter in teaching or research.",/,"Include guidance on AI-assisted programming, code generation and scripting within teaching, research and professional services, clarifying expectations for human review, validation and accountability before code is shared or deployed."
RG014,University of Edinburgh,University,Yes,Scotland,Research,Generative AI Guidelines for Postgraduate Research Students,Guidance,Students,https://information-services.ed.ac.uk/computing/comms-and-collab/elm/generative-ai-guidelines-for-students/generative-ai,HTML,2026-07-13,Available,Official,Mar-26,,Tool,Research Integrity; Plagiarism; Overreliance; Privacy; Intellectual Property,Responsible Use of AI; Transparency; AI Literacy,Brainstorming; Definitions; Writer support; Grammar checking; Information organisation; Summarising; Reference formatting,Presenting AI outputs as own work; Machine translation for assessment; Undeclared AI-generated text; Undeclared AI-generated images/audio/video; Undeclared AI-generated mathematical reasoning; Undeclared AI-generated code; AI agents in University learning platforms,Generative AI; Agentic AI; ELM; GPT; DeepSeek; Grok; Llama; OpenAI o4 Mini,"TRUE, Guidance Provided",Balanced," It explicitly distinguishes acceptable and unacceptable AI use throughout the research lifecycle while promoting responsible, transparent and integrity-driven use of AI.","Although coding is mentioned, the guidance provides little practical advice on responsible AI-assisted programming, reproducible computational workflows or software development in research.","Expectations for acknowledging AI use may still vary across supervisors, disciplines and publishers. More discipline-specific examples would improve consistency.","Include concrete examples of acceptable AI use in programming, statistical analysis, computational notebooks and reproducible research.",/,"Expand the guidance on AI-assisted coding to distinguish acceptable support (e.g. debugging, documentation) from unacceptable delegation of computational reasoning or software development."
RG015,University of Edinburgh,University,Yes,Scotland,Generic,Guidelines on the use of Generative AI in the Application Process,Guidance,Students,https://careers.ed.ac.uk/cvs-and-applications/guidelines-on-the-use-of-generative-ai-in-the-application-process?utm_source=chatgpt.com,HTML,2026-07-13,Available,Official,2025-07-29,,Tool,Overreliance; Privacy; Plagiarism,Responsible Use of AI; AI Literacy; Authenticity,CV drafting; Cover letter drafting; Application support; Summarising; Prompt writing; Grammar checking,Copying AI output; Fully AI-generated applications; Ignoring employer AI policies,Generative AI; ELM; AskEdHelp; ChatGPT,FALSE,Positive,"This guidance focuses on employability rather than academic work. It encourages students to use GenAI as a career development tool while emphasising authenticity, employer expectations and responsible personal use.","The guidance does not discuss AI use in online interviews, AI-assisted coding assessments, technical recruitment tasks or portfolio development, which are increasingly common in graduate recruitment.","Although students are advised to follow employers’ AI policies, the guidance provides limited advice on how applicants should disclose AI assistance when employers neither encourage nor prohibit its use.","Include examples covering AI use in technical interviews, coding tests, GitHub portfolios, assessment centres and AI-assisted interview preparation.",/,"Expand the guidance to address AI use in coding assessments, technical recruitment exercises and software engineering interviews, clarifying acceptable support while maintaining authenticity and demonstrating individual competence."
RG016,University of Exeter,University,Yes,England,Generic,Enabling AI at Exeter,Guidance Hub,All,https://www.exeter.ac.uk/about/strategies/enabling-ai/,HTML,2026-06-29,Available,Official,,,Tool; Innovation,Privacy; Security; Research Integrity,Responsible Use of AI; AI Literacy; Transparency,Drafting; Data analysis; Research support; Learning support,Using unapproved AI tools; Sharing information above approved classification levels,Generative AI; Microsoft Copilot; ChatGPT; Google Gemini,"TRUE, Guidance Provided",Positive,"Exeter presents AI as an institution-wide strategic capability. The guidance integrates governance, training, approved technologies, communities of practice and responsible innovation into a single institutional framework.","Although the hub links to separate guidance for students, researchers and assessment, it provides relatively little practical advice on discipline-specific AI use, including AI-assisted programming, assessment design or research workflows within the hub itself.","The page refers users to separate guidance documents for assessment, research and postgraduate research rather than summarising institutional expectations directly. Users may need to consult multiple linked documents to understand all applicable requirements.","Include concise examples of acceptable AI use across teaching, research, professional services and software development directly within the hub, reducing the need to navigate multiple linked guidance pages.",/,"Expand guidance on AI-assisted programming and software development by clarifying expectations for code generation, validation, documentation and responsible use of coding assistants within teaching and research environments."
RG017,University of Exeter,University,Yes,England,Teaching,Generative Artificial Intelligence (GenAI) use in assessments,Guidance,Students,https://libguides.exeter.ac.uk/referencing/generativeai,HTML,2026-06-29,Available,Official,,,Tool,Academic Integrity; Privacy; Overreliance,Responsible Use of AI; Transparency; Critical Thinking,Grammar checking; AI-assisted assessment; AI-integrated assessment; Prompt recording; Reference formatting,Using AI outside assessment permissions; Presenting AI-generated work as own; Uploading sensitive information; Machine translation beyond permitted scope,Generative AI; ChatGPT,FALSE,Balanced,"Introduces a structured four-tier assessment framework (AI-integrated, AI-assisted, AI-minimal and AI-prohibited) that aligns AI use with intended learning outcomes. Rather than adopting a single institutional rule, the guidance enables different levels of AI use depending on assessment design.","The guidance provides little discussion of AI-assisted programming, coding assignments or computational assessments, despite the increasing use of AI coding assistants in higher education.","While the four assessment categories are clearly defined, practical implementation depends heavily on module leaders specifying permitted AI uses in assessment briefs. Variation across modules may therefore create inconsistency in student experience.","Include examples illustrating acceptable AI use in programming assignments, data analysis tasks and computational coursework, together with discipline-specific assessment scenarios.",/,"Extend the assessment framework to explicitly address AI-assisted programming, code generation and debugging, specifying how these activities should be classified within the four assessment categories."
RG018,University of Exeter,University,Yes,England,Research,Responsible use of AI in research,Guidance,Researchers,https://www.exeter.ac.uk/about/strategies/enabling-ai/ai-for-researchers/,HTML,2026-06-29,Available,Official,,,Tool; Innovation,Research Integrity; Privacy; Intellectual Property; Academic Misconduct; Overreliance,Responsible Use of AI; AI Literacy; Transparency; Critical Thinking,Hypothesis generation; Literature review; Data analysis; Simulation; Drafting; Proofreading; Academic writing support; Funding application support; Research support,Copying AI output without critical review; Uploading sensitive or copyrighted data; Replacing researcher judgement; Undeclared AI use,Generative AI; Machine Learning; Deep Learning; Large Language Models; ChatGPT; Microsoft Copilot; Google Gemini; DALL·E; Azure AI Studio; AWS SageMaker; Elicit; Scite; Scholarly,"TRUE, Guidance Provided",Balanced,"Rather than simply regulating AI use, it provides a complete governance framework spanning research integrity, ethics, privacy, sustainability, approved tools, funding applications and academic writing, while encouraging responsible innovation.","Although AI-assisted programming is discussed, the guidance provides limited practical advice on reproducible computational workflows, version control, collaborative software development and the documentation of AI-generated code within research projects.","Expectations for documenting AI use may differ across publishers, disciplines and funders. While the guidance recommends transparency and citation, additional discipline-specific examples would help researchers implement these practices consistently.","Include concrete case studies demonstrating responsible AI use in computational research, software development, statistical programming and reproducible research workflows, together with examples of appropriate AI acknowledgement in code repositories and publications.",/,"Expand guidance on AI-assisted programming by distinguishing acceptable support (e.g., debugging, documentation and code explanation) from inappropriate delegation of software development or computational reasoning, while clarifying expectations for documenting AI-generated code in research outputs."
RG019,University of Glasgow,University,Yes,Scotland,Teaching,Info for students,Guidance,Students,https://www.gla.ac.uk/myglasgow/sld/ai/students/,HTML,2026-06-29,Available,Official,,,Tool; Transformative Technology,Academic Integrity; Overreliance; Plagiarism,Responsible Use of AI; Transparency; Critical Thinking; AI Literacy,Summarising; Identifying key points; Language refinement; Study support,Replacing own analysis; Copying AI-generated text; Uploading full coursework; Relying on AI-generated references; Using AI for research without permission,Generative AI; LLMs; ChatGPT; Claude,FALSE,Balanced,"Glasgow frames AI primarily as a learning support tool rather than a content-generation tool. The guidance consistently argues that the educational value of AI lies in supporting, rather than replacing, students’ own understanding, critical thinking and academic development.","The guidance does not discuss AI-assisted programming, coding assignments, computational coursework or discipline-specific applications of AI beyond general academic study.","While the guidance states that lecturers will specify when AI use is permitted, it provides limited examples of different assessment scenarios. Students may therefore find it difficult to determine what constitutes acceptable AI use across different modules.","Include discipline-specific examples illustrating appropriate AI use in quantitative analysis, programming, laboratory reports and data science assignments, together with model examples of acceptable AI acknowledgement.","The document repeats similar cautions regarding AI limitations (e.g., hallucinations, inaccuracies and lack of critical judgement) in several sections. These could be consolidated to improve readability without changing the overall message.","Add explicit guidance on AI-assisted programming, code generation and computational problem-solving, clarifying how students may use coding assistants while maintaining academic integrity and demonstrating independent understanding."
RG020,University of Glasgow,University,Yes,Scotland,Teaching,Info for staff,Guidance,Staff,https://www.gla.ac.uk/myglasgow/sld/ai/staff/,HTML,2026-06-29,Available,Official,,,Tool,Academic Integrity; Plagiarism,Responsible Use of AI; AI Literacy; Critical Thinking; Transparency,Learning support; Prompt experimentation; AI evaluation; Reference guidance,/,Generative AI,FALSE,Positive,"This document is aimed at teaching staff rather than students. Its primary purpose is to support educators in embedding AI literacy into teaching through workshops, classroom activities and discipline-specific guidance rather than regulating student behaviour directly.","The guidance does not discuss discipline-specific examples such as AI-assisted programming, quantitative analysis or laboratory work. It also provides limited advice on assessment design beyond referring to school-level decisions.",The document states that Schools determine one of three levels of permitted AI use but does not explain the criteria used to assign these categories or how consistency across Schools is maintained.,"Include examples of how different disciplines can incorporate AI into teaching, including programming, data science and computational coursework, together with sample classroom activities and assessment scenarios.",/,"Expand the teaching resources to include AI-assisted programming, coding exercises and computational literacy, providing guidance for educators on integrating coding assistants into teaching while maintaining academic integrity."
RG021,University of Glasgow,University,Yes,Scotland,Research,AI for researchers,Guidance,Researchers,https://www.gla.ac.uk/research/strategy/ourpolicies/ai-for-researchers/,HTML,2026-06-29,Available,Official,,,Tool; Transformative Technology,Research Integrity; Academic Misconduct; Overreliance; Privacy; Intellectual Property,Responsible Use of AI; Transparency; Critical Thinking,Proofreading; Literature searching; Summarising; Research support,Presenting AI-generated work as own; Uploading confidential research data; Using AI to replace critical evaluation; AI proofreading beyond permitted scope,Generative AI; ChatGPT; Google Bard; DALL·E; Microsoft Copilot; LLM; GPT; Elicit; Scite; Scholarc,FALSE,Balanced,"Provides a comprehensive research governance framework for generative AI, combining responsible AI use with strong expectations for research integrity, transparency, privacy and critical human oversight. A notable feature is the inclusion of dedicated guidance for supervisors and postgraduate researchers, recognising AI governance as an ongoing part of research training rather than simply a publication issue.","The guidance provides little discussion of AI-assisted programming, software development, computational notebooks or reproducible coding workflows, despite addressing many other stages of the research lifecycle.","While the document explains when AI use should be acknowledged or cited, the threshold for what constitutes “substantial” AI use remains intentionally flexible and may vary across disciplines, supervisors and publishers.","Include discipline-specific examples covering AI-assisted coding, statistical programming, data analysis pipelines and reproducible computational research, together with examples of appropriate AI acknowledgement in software repositories and publications.","The discussion of AI limitations (bias, hallucinations, inaccuracy and unreliability) is comprehensive but partially repetitive across sections. Some consolidation could improve readability without reducing the guidance’s practical value.","Extend the guidance to include explicit recommendations on AI-assisted programming and code generation, clarifying acceptable use for debugging, documentation and software development while maintaining researcher accountability and reproducibility."
RG022,Imperial College London,University,Yes,England,Generic,Generative AI and Study Guidance Hub,Guidance Hub,Students,https://www.imperial.ac.uk/students/academic-support/ai-and-study-guidance-hub/,HTML,2026-06-29,Available,Official,,,Tool; Transformative Technology,Privacy,Responsible Use of AI; AI Literacy,Learning support,/,Generative AI; Microsoft Copilot; GPT; Claude; DeepSeek; dAIsy,FALSE,Positive,"This document functions primarily as an institutional entry point rather than a standalone AI policy. It introduces Imperial’s overall approach to generative AI, promotes AI literacy through training and institutional principles, and directs students to more specialised guidance covering study, library services, ICT support and departmental expectations.","The hub intentionally avoids detailed operational guidance. It does not explain acceptable or unacceptable AI uses, assessment expectations, citation practices or academic integrity requirements, instead directing users to dedicated guidance documents.","While the hub introduces institutional principles and learning resources, it provides limited explanation of how these principles should be applied in different academic contexts. Users are expected to consult departmental guidance and the linked student resources for practical expectations.","Include a concise summary of the University’s key expectations for AI use (e.g., transparency, assessment rules and responsible use) within the hub itself, allowing students to understand the institutional position before navigating to more detailed guidance.",/,"Consider including a short section outlining expectations for AI-assisted programming and computational study, together with links to discipline-specific guidance where appropriate."
RG023,Imperial College London,University,Yes,England,Generic,Generative AI Principles,Principles,All,https://www.imperial.ac.uk/students/academic-support/ai-and-study-guidance-hub/generative-ai-principles/,HTML,2026-07-13,Available,Official,,,Tool; Transformative Technology,Academic Integrity; Overreliance; Equity,Responsible Use of AI; AI Literacy; Transparency; Critical Thinking; Collaboration,Teaching support; Learning support; Assessment support,Replacing human skills and knowledge,Generative AI,FALSE,Positive,"Rather than prescribing detailed rules for AI use, this document establishes an institutional value framework for generative AI. It positions AI as an opportunity to enhance education while emphasising responsible use, collaboration, critical thinking and continuous AI literacy development. The principles provide a foundation upon which more detailed operational guidance can be built.","The document intentionally avoids operational guidance and therefore does not explain acceptable or unacceptable AI use in specific educational contexts. Practical topics such as AI acknowledgement, citation, assessment rules, programming support and discipline-specific examples are left to subsequent guidance documents.","Although the principles promote responsible and transparent AI use, they provide limited detail on how these values should be translated into day-to-day teaching, learning and assessment practices. Users are expected to consult the linked guidance documents for implementation.","Include illustrative examples demonstrating how each principle can be applied in common educational scenarios, such as coursework, laboratory work, programming assignments, collaborative projects and research supervision.",/,"Expand the principles with examples of responsible AI-assisted programming and computational learning, showing how the institutional values can be applied consistently across different disciplines."
RG024,Imperial College London,University,Yes,England,Teaching,Generative AI Guidance (Library Services),Guidance,Students,https://www.imperial.ac.uk/admin-services/library/learning-support/generative-ai-guidance/,HTML,2026-07-13,Available,Official,,,Tool,Academic Integrity; Plagiarism; Overreliance,Responsible Use of AI; Critical Thinking; Transparency; AI Literacy,Research support; Literature searching; Summarising; Outline generation; Academic writing support; Referencing,Presenting AI-generated work as own; Unverified academic use; Using AI in assessed work without authorisation,Generative AI; ChatGPT; Google Gemini; Microsoft Copilot; dAIsy; LLMs,FALSE,Balanced,"This guidance positions generative AI as an academic support tool. It encourages students to use AI for research preparation, writing support and information discovery while maintaining independent judgement, critical evaluation and transparent disclosure. A distinctive feature is the detailed guidance on AI acknowledgement and referencing.","The guidance focuses primarily on writing, referencing and academic study. It provides little discussion of AI-assisted programming, data analysis, computational workflows or discipline-specific applications beyond general academic practice.","Although students are advised to acknowledge AI use in assessed work, departments may impose additional requirements. The guidance refers users to departmental policies but provides limited examples illustrating how disclosure expectations may vary across disciplines.","Include examples covering AI-assisted programming, quantitative analysis, laboratory reports and computational coursework, together with discipline-specific acknowledgement examples beyond written assignments.",/,"Expand the framework to include AI-assisted coding, software development and computational research, providing recommended formats for documenting AI-generated code, prompts and verification processes."
RG025,Imperial College London,University,Yes,England,Process,Artificial Intelligence (ICT),Guidance,All,https://www.imperial.ac.uk/admin-services/ict/ai/,HTML,2026-07-13,Available,Official,,,Tool; Transformative Technology,Privacy; Security; Overreliance,Responsible Use of AI; AI Literacy; Critical Thinking,Writing support; Summarising; Data analysis; Question answering; Coding; Workflow automation; API integration,/,Generative AI; GPT; Claude; DeepSeek; Microsoft Copilot; GitHub Copilot; Gemini; Codex; API; dAIsy; HEX-AI; ASK Chatbot; Jira Rovo; Microsoft Teams Premium,"True, Guidance Provided",Positive,"This guidance focuses on institutional AI infrastructure rather than educational regulation. It positions AI as an enterprise capability supported through approved platforms, institutional governance and technical services, while providing practical pathways for staff, students and researchers to adopt AI safely across a wide range of professional activities.","The guidance provides little discussion of academic integrity, assessment, AI acknowledgement or citation practices, as these are addressed elsewhere within Imperial’s educational guidance. It also offers limited discussion of ethical issues beyond governance and institutional approval.","Although the document promotes the use of approved AI platforms, it does not specify when external AI services should be avoided or provide explicit criteria for selecting between institutionally approved and commercial AI tools.","Include practical guidance on documenting AI use in professional workflows, software development and research computing, together with examples illustrating responsible use of institutional AI infrastructure across different roles.",/,"Expand the guidance to include governance recommendations for AI-assisted software development, API integration and agent-based workflows, including expectations for documentation, security review and responsible deployment of AI-generated code."
